"","year","airport","airport_name","state","region","latitude","longitude","delay_type","delay_prop","delay_curr","delay_trend","delay_likely","delay_comp"
"40",2004,"LAS","Las Vegas, NV: McCarran International","NV","West",36.080056,-115.15225,"Air Carrier",0.0516890811029547,19,"decreased","Previous Flight","worse"
"41",2004,"LAX","Los Angeles, CA: Los Angeles International","CA","West",33.942536,-118.408075,"Air Carrier",0.0507135245690322,21,"increased","Previous Flight","worse"
"42",2004,"MCO","Orlando, FL: Orlando International","FL","South",28.429394,-81.308994,"Air Carrier",0.0560699870360325,20,"generally remained steady","Previous Flight","worse"
"43",2004,"MDW","Chicago, IL: Chicago Midway International","IL","Mid West",41.785972,-87.752417,"Air Carrier",0.0312774307486019,18,"increased","Previous Flight","better"
"44",2004,"MIA","Miami, FL: Miami International","FL","South",25.79325,-80.290556,"Air Carrier",0.0574104666309095,20,"decreased","NAS","worse"
"45",2004,"MSP","Minneapolis, MN: Minneapolis-St Paul International","MN","Mid West",44.881956,-93.221767,"Air Carrier",0.0441243603005226,18,"decreased","NAS","better"
"46",2004,"ORD","Chicago, IL: Chicago O'Hare International","IL","Mid West",41.978603,-87.904842,"Air Carrier",0.0328295667799025,23,"decreased","NAS","worse"
"47",2004,"PDX","Portland, OR: Portland International","OR","West",45.588722,-122.5975,"Air Carrier",0.0554277323113841,16,"decreased","Previous Flight","better"
"48",2004,"PHL","Philadelphia, PA: Philadelphia International","PA","North East",39.871944,-75.241139,"Air Carrier",0.0400781898074001,22,"decreased","NAS","worse"
"49",2004,"PHX","Phoenix, AZ: Phoenix Sky Harbor International","AZ","West",33.434278,-112.011583,"Air Carrier",0.0497982212927935,17,"decreased","Previous Flight","better"
"50",2004,"SAN","San Diego, CA: San Diego International","CA","West",32.733556,-117.189667,"Air Carrier",0.0588532893437576,19,"generally remained steady","Previous Flight","worse"
"51",2004,"SEA","Seattle, WA: Seattle/Tacoma International","WA","West",47.449,-122.309306,"Air Carrier",0.0576031410836556,15,"decreased","Previous Flight","worse"
"52",2004,"SFO","San Francisco, CA: San Francisco International","CA","West",37.618972,-122.374889,"Air Carrier",0.0514415494581508,22,"increased","NAS","worse"
"53",2004,"SLC","Salt Lake City, UT: Salt Lake City International","UT","West",40.788389,-111.977772,"Air Carrier",0.060747461654785,13,"decreased","Previous Flight","better"
"54",2004,"TPA","Tampa, FL: Tampa International","FL","South",27.975472,-82.53325,"Air Carrier",0.0512321232123212,19,"generally remained steady","Previous Flight","worse"
"55",2005,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","GA","South",33.636719,-84.428067,"Air Carrier",0.0434249651000465,16,"decreased","NAS","worse"
"56",2005,"BOS","Boston, MA: Logan International","MA","North East",42.364347,-71.005181,"Air Carrier",0.0507846522856719,23,"generally remained steady","NAS","better"
"57",2005,"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","MD","South",39.175361,-76.668333,"Air Carrier",0.0469846055884336,18,"generally remained steady","Previous Flight","better"
"58",2005,"CLT","Charlotte, NC: Charlotte Douglas International","NC","South",35.214,-80.943139,"Air Carrier",0.0509222805164422,16,"decreased","NAS","better"
"59",2005,"DCA","Washington, DC: Ronald Reagan Washington National","DC","South",38.852083,-77.037722,"Air Carrier",0.0522413299759643,19,"generally remained steady","NAS","better"
"60",2005,"DEN","Denver, CO: Denver International","CO","West",39.861656,-104.673178,"Air Carrier",0.0596555268236413,21,"increased","Previous Flight","better"
"61",2005,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","TX","South",32.896828,-97.037997,"Air Carrier",0.0356139644132276,22,"increased","Previous Flight","better"
"62",2005,"DTW","Detroit, MI: Detroit Metro Wayne County","MI","Mid West",42.212444,-83.353389,"Air Carrier",0.0544173071699664,18,"decreased","NAS","better"
"63",2005,"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","FL","South",26.072583,-80.15275,"Air Carrier",0.0675851041148461,21,"generally remained steady","NAS","worse"
"64",2005,"IAD","Washington, DC: Washington Dulles International","DC","South",38.944533,-77.455811,"Air Carrier",0.0335084450763611,20,"generally remained steady","Previous Flight","worse"
"65",2005,"IAH","Houston, TX: George Bush Intercontinental/Houston","TX","South",29.984433,-95.341442,"Air Carrier",0.0299907111400307,22,"increased","NAS","better"
"66",2005,"JFK","New York, NY: John F. Kennedy International","NY","North East",40.639751,-73.778925,"Air Carrier",0.0562540831641211,23,"decreased","NAS","worse"
"67",2005,"LAS","Las Vegas, NV: McCarran International","NV","West",36.080056,-115.15225,"Air Carrier",0.0550388226096194,19,"decreased","Previous Flight","worse"
"68",2005,"LAX","Los Angeles, CA: Los Angeles International","CA","West",33.942536,-118.408075,"Air Carrier",0.0627953935405663,21,"increased","Previous Flight","worse"
"69",2005,"MCO","Orlando, FL: Orlando International","FL","South",28.429394,-81.308994,"Air Carrier",0.0630258370949269,20,"generally remained steady","Previous Flight","worse"
"70",2005,"MDW","Chicago, IL: Chicago Midway International","IL","Mid West",41.785972,-87.752417,"Air Carrier",0.036394322442421,18,"increased","Previous Flight","better"
"71",2005,"MIA","Miami, FL: Miami International","FL","South",25.79325,-80.290556,"Air Carrier",0.067331589671847,20,"decreased","NAS","worse"
"72",2005,"MSP","Minneapolis, MN: Minneapolis-St Paul International","MN","Mid West",44.881956,-93.221767,"Air Carrier",0.0568889196192029,18,"decreased","NAS","better"
"73",2005,"ORD","Chicago, IL: Chicago O'Hare International","IL","Mid West",41.978603,-87.904842,"Air Carrier",0.040708677037502,23,"decreased","NAS","worse"
"74",2005,"PDX","Portland, OR: Portland International","OR","West",45.588722,-122.5975,"Air Carrier",0.0695709326293711,16,"decreased","Previous Flight","better"
"75",2005,"PHL","Philadelphia, PA: Philadelphia International","PA","North East",39.871944,-75.241139,"Air Carrier",0.0489460984042343,22,"decreased","NAS","worse"
"76",2005,"PHX","Phoenix, AZ: Phoenix Sky Harbor International","AZ","West",33.434278,-112.011583,"Air Carrier",0.0503222904166738,17,"decreased","Previous Flight","better"
"77",2005,"SAN","San Diego, CA: San Diego International","CA","West",32.733556,-117.189667,"Air Carrier",0.0676906660676177,19,"generally remained steady","Previous Flight","worse"
